objectid,park_name,site_number,table_count,comments,data_source,lat,lng
116,Whitby Avenue Playground,3,3,Located in Cobbs Creek Park,"2017 Field Collection, Pictometry 2020",39.94059631876979,-75.23825639098602
117,Robert Wilson III Park,2,1,,"2018 Street Smart, Pictometry 2020",39.94309736178054,-75.24585112655105
118,Robert Wilson III Park,1,3,,"2018 Street Smart, Pictometry 2020",39.943576257168125,-75.24605913197038
119,Rufus O Williams Memorial Playground,1,3,,"2017 Field Collection, Pictometry 2020",39.95068898543329,-75.25000094290179
120,Rufus O Williams Memorial Playground,2,3,,"2020 StreetSmart;NearMap 2021",39.9500545690086,-75.24991694485912
121,Cobbs Creek Park,1,2,North to Cobbs Creek Community Environmental Center,"2020 Street Smart, Pictometry 2020",39.95399533360845,-75.24884470590554
122,Cobbs Creek Park,2,3,North to Cobbs Creek Community Environmental Center,"2020 Street Smart, Pictometry 2020",39.95383778497762,-75.24888729443236
123,Cobbs Creek Park,3,3,North to Cobbs Creek Community Environmental Center,"2020 Street Smart, Pictometry 2020",39.95358292015652,-75.24891004104673
124,Cobbs Creek Park,4,2,North to Cobbs Creek Community Environmental Center,"2020 Street Smart, Pictometry 2020",39.95326565954326,-75.24946102081847
125,Johnny Sample Recreation Center,2,2,,NearMap 2021,39.95774344753429,-75.24950431680944
126,Johnny Sample Recreation Center,3,3,,"2018 Street Smart, Pictometry 2020",39.95860475451527,-75.24791129029134
127,Johnny Sample Recreation Center,4,3,,"2018 Street Smart, Pictometry 2020",39.95883260211799,-75.2477757638251
128,West Fairmount Park,2,2,West Fairmount Park-South George's Hill Picnic Area,"2018 Street Smart, Pictometry 2020",39.984690333284114,-75.21913904775376
129,West Fairmount Park,3,3,West Fairmount Park-South George's Hill Picnic Area,"2018 Street Smart, Pictometry 2020",39.984846391664284,-75.22081600568814
130,Bartrams Garden,0,3,East to Bartram's Garden Barn,2020 Pictometry,39.93270183643999,-75.21166695285639
131,West Fairmount Park,1,5,West Fairmount Park-South George's Hill Picnic Pavilion,2018 Street Smart,39.98487918038155,-75.21958736962787
132,West Fairmount Park,4,3,West Fairmount Park-South George's Hill Picnic Area,"2018 Street Smart, Pictometry 2020",39.984384181603275,-75.21829327710284
133,Belmont Grove,2,10,West Fairmount Park- Belmont Grove Picnic Pavilion,"2017 Field Collection, Pictometry 2020",39.99191365299804,-75.21542866798252
134,West Fairmount Park,1,6,Martin Luther King Drive Stone Picnic Pavilion,"2020 Street Smart, Pictometry 2020",40.00176870165891,-75.19306347390322
135,West Fairmount Park,3,3,Martin Luther King Drive Stone Picnic Pavilion Area,"2020 Street Smart, Pictometry 2020",40.00154492269746,-75.19316094191248
136,West Fairmount Park,2,2,Martin Luther King Drive Stone Picnic Pavilion Area,"2020 Street Smart, Pictometry 2020",40.001479524593684,-75.19294102730234
137,East Fairmount Park,3,3,North to Lemon Hill,"2017 Field Collection, Pictometry 2020",39.97132723805099,-75.1864077905218
138,East Fairmount Park,4,3,North to Lemon Hill,"2017 Field Collection, Pictometry 2020",39.97173068036738,-75.18695307336343
